Ingredient,Preference,Type,Status,Confidence,Verify label,Notes
Baking soda,Whole foods,Diet,Verify against label,Low,Yes,processed / branded
Baking soda,Vegan whole food,Diet,Verify against label,Low,Yes,processed / branded
Balsamic vinegar,Fructose intolerance,Allergy/Intolerance,Excluded,High,No,contains sucrose/fructose; wine/beer = sulfites; fermented/aged/vinegar; added sugar / refined carb; added sugar
Balsamic vinegar,Sulfite allergy,Allergy/Intolerance,Excluded,High,No,contains sucrose/fructose; wine/beer = sulfites; fermented/aged/vinegar; added sugar / refined carb; added sugar
Balsamic vinegar,Histamine intolerance,Allergy/Intolerance,Excluded,High,No,contains sucrose/fructose; wine/beer = sulfites; fermented/aged/vinegar; added sugar / refined carb; added sugar
Balsamic vinegar,Diabetes friendly,Diet,Excluded,High,No,contains sucrose/fructose; wine/beer = sulfites; fermented/aged/vinegar; added sugar / refined carb; added sugar
Balsamic vinegar,PCOS friendly,Diet,Excluded,High,No,contains sucrose/fructose; wine/beer = sulfites; fermented/aged/vinegar; added sugar / refined carb; added sugar
"Bami Goreng Boemboe, Albert Heijn",Peanut allergy,Allergy/Intolerance,Verify against label,Medium,Yes,often contains soy - verify; some recipes contain peanut; may contain sesame oil; processed / branded
"Bami Goreng Boemboe, Albert Heijn",Soy allergy,Allergy/Intolerance,Verify against label,Medium,Yes,often contains soy - verify; some recipes contain peanut; may contain sesame oil; processed / branded
"Bami Goreng Boemboe, Albert Heijn",Sesame allergy,Allergy/Intolerance,Verify against label,Medium,Yes,often contains soy - verify; some recipes contain peanut; may contain sesame oil; processed / branded
"Bami Goreng Boemboe, Albert Heijn",Whole foods,Diet,Excluded,Medium,Yes,often contains soy - verify; some recipes contain peanut; may contain sesame oil; processed / branded
"Bami Goreng Boemboe, Albert Heijn",Vegan whole food,Diet,Excluded,Medium,Yes,often contains soy - verify; some recipes contain peanut; may contain sesame oil; processed / branded
BBQ seasoning,Mustard allergy,Allergy/Intolerance,Verify against label,Medium,Yes,blends/sauces often contain mustard; sweetened sauce; added sugar / refined carb; added sugar; blends/stocks usually contain onion/garlic; processed / branded
BBQ seasoning,Fructose intolerance,Allergy/Intolerance,Verify against label,Medium,Yes,blends/sauces often contain mustard; sweetened sauce; added sugar / refined carb; added sugar; blends/stocks usually contain onion/garlic; processed / branded
BBQ seasoning,Whole foods,Diet,Verify against label,Medium,Yes,blends/sauces often contain mustard; sweetened sauce; added sugar / refined carb; added sugar; blends/stocks usually contain onion/garlic; processed / branded
BBQ seasoning,Vegan whole food,Diet,Verify against label,Medium,Yes,blends/sauces often contain mustard; sweetened sauce; added sugar / refined carb; added sugar; blends/stocks usually contain onion/garlic; processed / branded
BBQ seasoning,Diabetes friendly,Diet,Excluded,Medium,Yes,blends/sauces often contain mustard; sweetened sauce; added sugar / refined carb; added sugar; blends/stocks usually contain onion/garlic; processed / branded
BBQ seasoning,PCOS friendly,Diet,Excluded,Medium,Yes,blends/sauces often contain mustard; sweetened sauce; added sugar / refined carb; added sugar; blends/stocks usually contain onion/garlic; processed / branded
BBQ seasoning,Low FODMAP / IBS,Diet,Verify against label,Medium,Yes,blends/sauces often contain mustard; sweetened sauce; added sugar / refined carb; added sugar; blends/stocks usually contain onion/garlic; processed / branded
Bearnaise essence,Halal,Diet,Verify against label,Low,Yes,extracts usually contain alcohol - verify; trace alcohol; processed / branded
Bearnaise essence,Whole foods,Diet,Verify against label,Low,Yes,extracts usually contain alcohol - verify; trace alcohol; processed / branded
Bearnaise essence,Vegan whole food,Diet,Verify against label,Low,Yes,extracts usually contain alcohol - verify; trace alcohol; processed / branded
Bearnaise essence,Pregnancy friendly,Diet,Verify against label,Low,Yes,extracts usually contain alcohol - verify; trace alcohol; processed / branded
Beer,Wheat allergy,Allergy/Intolerance,Verify against label,Medium,Yes,contains alcohol; alcohol; barley/malt; wine/beer = sulfites
Beer,Gluten intolerance,Allergy/Intolerance,Excluded,Medium,Yes,contains alcohol; alcohol; barley/malt; wine/beer = sulfites
Beer,Sulfite allergy,Allergy/Intolerance,Excluded,Medium,Yes,contains alcohol; alcohol; barley/malt; wine/beer = sulfites
Beer,Histamine intolerance,Allergy/Intolerance,Excluded,Medium,Yes,contains alcohol; alcohol; barley/malt; wine/beer = sulfites
Beer,Halal,Diet,Excluded,Medium,Yes,contains alcohol; alcohol; barley/malt; wine/beer = sulfites
Beer,Paleo friendly,Diet,Excluded,Medium,Yes,contains alcohol; alcohol; barley/malt; wine/beer = sulfites
Beer,Whole foods,Diet,Excluded,Medium,Yes,contains alcohol; alcohol; barley/malt; wine/beer = sulfites
Beer,Vegan whole food,Diet,Excluded,Medium,Yes,contains alcohol; alcohol; barley/malt; wine/beer = sulfites
Beer,Pregnancy friendly,Diet,Excluded,Medium,Yes,contains alcohol; alcohol; barley/malt; wine/beer = sulfites
Biryani spice,Peanut allergy,Allergy/Intolerance,Verify against label,Low,Yes,some recipes contain peanut; processed / branded
Biryani spice,Whole foods,Diet,Verify against label,Low,Yes,some recipes contain peanut; processed / branded
Biryani spice,Vegan whole food,Diet,Verify against label,Low,Yes,some recipes contain peanut; processed / branded
Bouillon/stock cube,Celery allergy,Allergy/Intolerance,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube,Wheat allergy,Allergy/Intolerance,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube,Gluten intolerance,Allergy/Intolerance,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube,Vegan,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube,Vegetarian,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube,Pescatarian,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube,No red meat,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube,No pork,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube,Halal,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube,Kosher,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube,Whole foods,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube,Vegan whole food,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube,Low FODMAP / IBS,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube (dissolved in water),Celery allergy,Allergy/Intolerance,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube (dissolved in water),Wheat allergy,Allergy/Intolerance,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube (dissolved in water),Gluten intolerance,Allergy/Intolerance,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube (dissolved in water),Vegan,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube (dissolved in water),Vegetarian,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube (dissolved in water),Pescatarian,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube (dissolved in water),No red meat,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube (dissolved in water),No pork,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube (dissolved in water),Halal,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube (dissolved in water),Kosher,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube (dissolved in water),Whole foods,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube (dissolved in water),Vegan whole food,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Bouillon/stock cube (dissolved in water),Low FODMAP / IBS,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic; processed / branded
Brotgewürz (bread spice mix),Whole foods,Diet,Verify against label,Low,Yes,blends/stocks usually contain onion/garlic; processed / branded
Brotgewürz (bread spice mix),Vegan whole food,Diet,Verify against label,Low,Yes,blends/stocks usually contain onion/garlic; processed / branded
Brotgewürz (bread spice mix),Low FODMAP / IBS,Diet,Verify against label,Low,Yes,blends/stocks usually contain onion/garlic; processed / branded
"Broth, any type, ready-to-use",Celery allergy,Allergy/Intolerance,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
"Broth, any type, ready-to-use",Wheat allergy,Allergy/Intolerance,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
"Broth, any type, ready-to-use",Gluten intolerance,Allergy/Intolerance,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
"Broth, any type, ready-to-use",Vegan,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
"Broth, any type, ready-to-use",Vegetarian,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
"Broth, any type, ready-to-use",Pescatarian,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
"Broth, any type, ready-to-use",No red meat,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
"Broth, any type, ready-to-use",No pork,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
"Broth, any type, ready-to-use",Halal,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
"Broth, any type, ready-to-use",Kosher,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
"Broth, any type, ready-to-use",Vegan whole food,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
"Broth, any type, ready-to-use",Low FODMAP / IBS,Diet,Verify against label,Low,Yes,stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; stock may be meat-based; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
Brown low calorie sweetener,Paleo friendly,Diet,Verify against label,Low,Yes,sweetener/additive not strictly paleo; artificial sweetener; processed / branded
Brown low calorie sweetener,Whole foods,Diet,Verify against label,Low,Yes,sweetener/additive not strictly paleo; artificial sweetener; processed / branded
Brown low calorie sweetener,Vegan whole food,Diet,Verify against label,Low,Yes,sweetener/additive not strictly paleo; artificial sweetener; processed / branded
Brown low calorie sweetener,PCOS friendly,Diet,Verify against label,Low,Yes,sweetener/additive not strictly paleo; artificial sweetener; processed / branded
Browning sauce,Soy allergy,Allergy/Intolerance,Verify against label,Medium,Yes,often contains soy - verify; stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; added sugar / refined carb; added sugar; processed / branded
Browning sauce,Celery allergy,Allergy/Intolerance,Verify against label,Medium,Yes,often contains soy - verify; stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; added sugar / refined carb; added sugar; processed / branded
Browning sauce,Wheat allergy,Allergy/Intolerance,Verify against label,Medium,Yes,often contains soy - verify; stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; added sugar / refined carb; added sugar; processed / branded
Browning sauce,Gluten intolerance,Allergy/Intolerance,Verify against label,Medium,Yes,often contains soy - verify; stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; added sugar / refined carb; added sugar; processed / branded
Browning sauce,Whole foods,Diet,Verify against label,Medium,Yes,often contains soy - verify; stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; added sugar / refined carb; added sugar; processed / branded
Browning sauce,Vegan whole food,Diet,Verify against label,Medium,Yes,often contains soy - verify; stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; added sugar / refined carb; added sugar; processed / branded
Browning sauce,Diabetes friendly,Diet,Excluded,Medium,Yes,often contains soy - verify; stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; added sugar / refined carb; added sugar; processed / branded
Browning sauce,PCOS friendly,Diet,Excluded,Medium,Yes,often contains soy - verify; stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; added sugar / refined carb; added sugar; processed / branded
Buffalo wing sauce,Soy allergy,Allergy/Intolerance,Verify against label,Medium,Yes,often contains soy - verify; sweetened sauce; added sugar / refined carb; added sugar; processed / branded
Buffalo wing sauce,Fructose intolerance,Allergy/Intolerance,Verify against label,Medium,Yes,often contains soy - verify; sweetened sauce; added sugar / refined carb; added sugar; processed / branded
Buffalo wing sauce,Whole foods,Diet,Verify against label,Medium,Yes,often contains soy - verify; sweetened sauce; added sugar / refined carb; added sugar; processed / branded
Buffalo wing sauce,Vegan whole food,Diet,Verify against label,Medium,Yes,often contains soy - verify; sweetened sauce; added sugar / refined carb; added sugar; processed / branded
Buffalo wing sauce,Diabetes friendly,Diet,Excluded,Medium,Yes,often contains soy - verify; sweetened sauce; added sugar / refined carb; added sugar; processed / branded
Buffalo wing sauce,PCOS friendly,Diet,Excluded,Medium,Yes,often contains soy - verify; sweetened sauce; added sugar / refined carb; added sugar; processed / branded
Butter extract,Milk allergy,Allergy/Intolerance,Verify against label,Low,Yes,extracts usually contain alcohol - verify; trace alcohol; may contain dairy butter; processed / branded
Butter extract,Lactose intolerance,Allergy/Intolerance,Verify against label,Low,Yes,extracts usually contain alcohol - verify; trace alcohol; may contain dairy butter; processed / branded
Butter extract,Halal,Diet,Verify against label,Low,Yes,extracts usually contain alcohol - verify; trace alcohol; may contain dairy butter; processed / branded
Butter extract,Whole foods,Diet,Verify against label,Low,Yes,extracts usually contain alcohol - verify; trace alcohol; may contain dairy butter; processed / branded
Butter extract,Vegan whole food,Diet,Verify against label,Low,Yes,extracts usually contain alcohol - verify; trace alcohol; may contain dairy butter; processed / branded
Butter extract,Pregnancy friendly,Diet,Verify against label,Low,Yes,extracts usually contain alcohol - verify; trace alcohol; may contain dairy butter; processed / branded
Buttery steak seasoning,Milk allergy,Allergy/Intolerance,Verify against label,Low,Yes,may contain dairy butter; savory blends/stocks often contain celery; blends/stocks usually contain onion/garlic; processed / branded
Buttery steak seasoning,Celery allergy,Allergy/Intolerance,Verify against label,Low,Yes,may contain dairy butter; savory blends/stocks often contain celery; blends/stocks usually contain onion/garlic; processed / branded
Buttery steak seasoning,Lactose intolerance,Allergy/Intolerance,Verify against label,Low,Yes,may contain dairy butter; savory blends/stocks often contain celery; blends/stocks usually contain onion/garlic; processed / branded
Buttery steak seasoning,Whole foods,Diet,Verify against label,Low,Yes,may contain dairy butter; savory blends/stocks often contain celery; blends/stocks usually contain onion/garlic; processed / branded
Buttery steak seasoning,Vegan whole food,Diet,Verify against label,Low,Yes,may contain dairy butter; savory blends/stocks often contain celery; blends/stocks usually contain onion/garlic; processed / branded
Buttery steak seasoning,Low FODMAP / IBS,Diet,Verify against label,Low,Yes,may contain dairy butter; savory blends/stocks often contain celery; blends/stocks usually contain onion/garlic; processed / branded
Cajun spice mix,Whole foods,Diet,Verify against label,Low,Yes,blends/stocks usually contain onion/garlic; processed / branded
Cajun spice mix,Vegan whole food,Diet,Verify against label,Low,Yes,blends/stocks usually contain onion/garlic; processed / branded
Cajun spice mix,Low FODMAP / IBS,Diet,Verify against label,Low,Yes,blends/stocks usually contain onion/garlic; processed / branded
"Callowfit Sauce, any type, #Sinob",Soy allergy,Allergy/Intolerance,Verify against label,Medium,Yes,often contains soy - verify; processed / branded
"Callowfit Sauce, any type, #Sinob",Whole foods,Diet,Excluded,Medium,Yes,often contains soy - verify; processed / branded
"Callowfit Sauce, any type, #Sinob",Vegan whole food,Diet,Excluded,Medium,Yes,often contains soy - verify; processed / branded
"Capers, in brine",Histamine intolerance,Allergy/Intolerance,Excluded,High,No,fermented/aged/vinegar
Caribbean green seasoning,Paleo friendly,Diet,Excluded,Medium,Yes,grain/legume/refined; blends/stocks usually contain onion/garlic; processed / branded
Caribbean green seasoning,Whole foods,Diet,Verify against label,Medium,Yes,grain/legume/refined; blends/stocks usually contain onion/garlic; processed / branded
Caribbean green seasoning,Vegan whole food,Diet,Verify against label,Medium,Yes,grain/legume/refined; blends/stocks usually contain onion/garlic; processed / branded
Caribbean green seasoning,Low FODMAP / IBS,Diet,Verify against label,Medium,Yes,grain/legume/refined; blends/stocks usually contain onion/garlic; processed / branded
Celery powder,Celery allergy,Allergy/Intolerance,Excluded,High,No,celery
Central American spice mix,Whole foods,Diet,Verify against label,Low,Yes,blends/stocks usually contain onion/garlic; processed / branded
Central American spice mix,Vegan whole food,Diet,Verify against label,Low,Yes,blends/stocks usually contain onion/garlic; processed / branded
Central American spice mix,Low FODMAP / IBS,Diet,Verify against label,Low,Yes,blends/stocks usually contain onion/garlic; processed / branded
Chaat masala,Low FODMAP / IBS,Diet,Verify against label,Low,Yes,blends/stocks usually contain onion/garlic
"Chamoy, sugar free, I Love Chamoy",Fructose intolerance,Allergy/Intolerance,Verify against label,Medium,Yes,fruit-derived; grain/legume/refined; artificial sweetener; processed / branded
"Chamoy, sugar free, I Love Chamoy",Paleo friendly,Diet,Excluded,Medium,Yes,fruit-derived; grain/legume/refined; artificial sweetener; processed / branded
"Chamoy, sugar free, I Love Chamoy",Whole foods,Diet,Excluded,Medium,Yes,fruit-derived; grain/legume/refined; artificial sweetener; processed / branded
"Chamoy, sugar free, I Love Chamoy",Vegan whole food,Diet,Excluded,Medium,Yes,fruit-derived; grain/legume/refined; artificial sweetener; processed / branded
"Chamoy, sugar free, I Love Chamoy",PCOS friendly,Diet,Verify against label,Medium,Yes,fruit-derived; grain/legume/refined; artificial sweetener; processed / branded
Chili flakes,Histamine intolerance,Allergy/Intolerance,Verify against label,Low,Yes,moderate/variable histamine
Chili garlic sauce,Soy allergy,Allergy/Intolerance,Verify against label,Medium,Yes,often contains soy - verify; sweetened sauce; moderate/variable histamine; garlic/onion family is high-FODMAP; processed / branded
